飞周兄弟 | 还不认亲? | non-hate | non-hate [END]
你 | 不是觉得两个人在一起是为了生育嘛 | non-hate | non-hate [END]
嘿畜 | 繁殖 | Racism | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
警察叔叔 | 但要小心艾滋 | others | hate [END]
贵州人 | 向我们骂了五分钟的贵州人 | Region | hate [END]
河南 | 文科一本线也只比两省高 | non-hate | non-hate [END]
你们txl | 复印还得是你们txl厉害 | non-hate | non-hate [END]
这人 | 还是个op | non-hate | non-hate [END]
山西的存在感 | 低到没人黑,悲哀 | Region | hate [END]
很多国女 | 找黑人白人结婚率并不高 | Sexism, Racism | hate [END]
崇洋媚外 | 是一种种族主义 | Racism | hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
女主播 | 为什么喜欢地域歧视 | non-hate | non-hate [END]
穆加贝 | 有什么理由说我们 | Racism | hate [END]
自由社会 | 所有无耻作为的遮羞布挡箭牌了 | non-hate | non-hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
天机预言 | 后世嘿 | Racism | hate [END]
性取向 | 个人的权利 | non-hate | non-hate [END]
家暴 | 对男人没有任何好处 | Sexism | hate [END]
那多字 | 反同有用吗,去做有用的事吧 | LGBTQ | hate [END]
她们 | 故意让她们胡闹,看看她们生下丑陋的哥布林。 | Sexism | hate [END]
正宗大飞柱 | 应该发到正宗大飞柱吧 | non-hate | non-hate [END]
女 | 恶心 | Sexism | hate [END]
奇趣蛋 | 普信奇趣蛋也就能想想了 | non-hate | non-hate [END]
黑龙江 | GDP确实比不过辽宁 | non-hate | non-hate [END]
同性恋 | 凭什么要这么多条件和时间去思考自己为什么接受不了同性恋 | LGBTQ | hate [END]
黑人 | 基本都是没有头发然后看不清五官🤣 | Racism | hate [END]
中国 | 日子比日本混的好 | non-hate | non-hate [END]
喷吧 | 被冲了就不让发言了 | non-hate | non-hate [END]
河南人 | 偷井盖被歧视? | Region | hate [END]
黑人 | 里面漂亮的女孩至少有4个 | non-hate | non-hate [END]
河南 | 还不配让爷去 | Region | hate [END]
收小丨唇手术或漂白水漂白肤色之类的产品 | 好做 | Sexism | hate [END]
有些蠢人 | 活该被淘汰 | non-hate | non-hate [END]
黑人群体 | 没接触黑人群体,不怪你 | Racism | hate [END]
贵州 | 怎么了,不太了解? | non-hate | non-hate [END]
国男 | 有些国男多学着点吧 | Sexism | hate [END]
黑人的敌人 | 如果你和黑人是朋友,你恐怕已经被生死簿勾了名了 | Racism | hate [END]
黑小子 | 到时候满街乱窜的黑小子,混血二代会成为公害 | Racism | hate [END]
屈臣氏 | 想玩什么 | non-hate | non-hate [END]
这个女人 | 送去非洲 | Sexism, Racism | hate [END]
排外的人 | 社会底层 | non-hate | non-hate [END]
大龄 | 千万不要找大龄,尤其是从大城市回来的大龄剩女 | Sexism | hate [END]
广东 | 应该不算黑?或者我没经历过那个时代吗 | Region | hate [END]
这个政治 | 非常正确 | non-hate | non-hate [END]
温州 | 假皮鞋 | non-hate | non-hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
基佬 | 做这么多伤天害理的事难怪会成长为基佬! | LGBTQ | hate [END]
男人 | 没有用 | Sexism | hate [END]
txl | 喜欢乱组cp | non-hate | non-hate [END]
同性恋 | 希望同性恋能幸福 | LGBTQ | hate [END]
她老公 | 抚顺的 | non-hate | non-hate [END]
知乎官方 | 本来就偏向女拳立场 | Sexism | hate [END]
南方人 | 低人一等了? | Region, Racism | hate [END]
非洲 | 十个九个都是骗子,要么就是有夫之妇 | Sexism, Racism | hate [END]
你 | 想沦为生育工具吧? | non-hate | non-hate [END]
我 | 鸡皮疙瘩起来了 | non-hate | non-hate [END]
很多贵州人 | 说东北贫(穷的意思) | non-hate | non-hate [END]
你 | 上去 | non-hate | non-hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non-hate | non-hate [END]
河南人 | 只有陕西人讨厌河南人吗?我也讨厌 | Region | hate [END]
母 | 没了男的也买不起车啊 | Sexism | hate [END]
女服务员 | 就冲着电话大骂然后挂了 | Sexism | hate [END]
黑 | 太丑 | Racism | hate [END]
这种龟男 | 不给他戴绿帽都对不起他的智商 | Sexism | hate [END]
他们 | 巴不得绑架全世界 | non-hate | non-hate [END]
普信男 | 要干这些乐色还不是分分钟? | Sexism | hate [END]
国内的女拳 | 拿啥跟她们比?? | Sexism | hate [END]
东北人 | 口碑已经差到不行了 | non-hate | non-hate [END]
有些动物 | 喜欢缠着人类小狒狒也不例外 | Racism | hate [END]
国女生的黑人孩子 | 一样不会同情 | Racism | hate [END]
她 | 可以嫁给男艾滋病人嘛,解决中国男艾滋病人的结婚需求不是挺好? | Sexism, Racism | hate [END]
黑人外教 | 崇洋媚外,低人一等 | Racism | hate [END]
广东本地人 | 被骂有优越感的表示不想说话 | non-hate | non-hate [END]
男人 | 在两性舆论阵地上一再失守 | Sexism | hate [SEP] 女人 | 不关心生活中与自己无关的东西不关心宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注宏大叙事不关注 [END]
你 | 在那反串啥啊 | non-hate | non-hate [END]
非洲 | 新冠检测情况 | non-hate | non-hate [END]
小红书 | 看到小红书这三个字儿 | non-hate | non-hate [END]
黑人 | 找黑人处对象的鸟毛不给,滚出户 | Racism | hate [END]
你们 | 活该 | non-hate | non-hate [END]
女权 | 发展已级崩塌 | Sexism | hate [END]
江苏浙江 | 优越感那么强 | Region | hate [END]
外国语啥的 | 确实要小心 | non-hate | non-hate [END]
黑人 | 最讨厌 | Racism | hate [END]
智力不足的人 | 不排斥对自身或许会有不好的影响 | non-hate | non-hate [END]
极端仇男癌成员 | 希望家人们留意! | non-hate | non-hate [END]
人类 | 为什么要吃大米、麦子和蔬菜呢? | non-hate | non-hate [END]
这种死飞柱 | 能不能滚去正宗大飞柱吧 | non-hate | non-hate [END]
男生 | 和男生抬杠的 | non-hate | non-hate [END]
你 | 说得挺好的 | non-hate | non-hate [END]
b站 | 女拳集中营 | Sexism | hate [END]
黑东北的 | 想祖国960万平方公里完整是吧有些人对湾湾都比东北热情 | Region | hate [END]
我 | 同意要自由恋爱,爱情不分人种和肤色 | non-hate | non-hate [END]
好友 | 被枪毙 | non-hate | non-hate [END]
它 | 遵纪守法也就罢了 | non-hate | non-hate [END]
蛆佬 | 智商都高感染hiv后更高 | Racism | hate [END]
黑人 | 每天都有宣传黑人的节目 | Racism | hate [END]
倪哥 | 能不能死? | non-hate | non-hate [END]
你 | 带着你的家人移民非洲吧! | non-hate | non-hate [END]
河北 | 没存在感 | non-hate | non-hate [END]
这主播 | 有点实力啊! | non-hate | non-hate [END]
湖北 | 黑称 | Region | hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | Sexism | hate [END]
女权师 | 疯狂成这个样子她们要刀谁? | Sexism | hate [END]
他们 | 找黑人媳妇纯属是觉得不要彩礼还能干 | Sexism, Racism | hate [END]
它 | 这搁楼道里养很难有? | non-hate | non-hate [END]
他们 | 应该让他们学会尊重这些群体 | non-hate | non-hate [END]
女性 | 出轨率已打80% | Sexism | hate [END]
外国人 | 我肯定接受不了 | non-hate | non-hate [END]
b站 | 下一个豆瓣 | non-hate | non-hate [END]
xa人 | 都死绝了才好 | non-hate | non-hate [END]
江西人 | 为了黑而生 | Region | hate [END]
大家 | 看到没有本吧吧宠真是能够给我们带来无限乐趣 | non-hate | non-hate [END]
额们西安人 | 神 | Region | hate [END]
回族 | 都信教吗? | Region | hate [END]
四川 | 蛇皮东西 | non-hate | non-hate [END]
我国 | 能借鉴韩国 | non-hate | non-hate [END]
河南人 | 第一次听说东北人被黑的很惨,也是从几个东北人口中抱怨得知的 | Region | hate [END]
他们 | 给他们超强繁殖的本能的同时,也给予了他们超强繁殖的本能 | non-hate | non-hate [END]
她们 | 倒贴嫁出去,那希望赶紧移民,真的别留下了 | Sexism | hate [END]
黑狗 | 学校和黑狗都不是好东西 | Racism | hate [END]
兄弟 | 别急呀 | non-hate | non-hate [END]
黑人 | 快手发展黑人祝福起家 | Racism | hate [END]
东北人 | 表示赞同 | non-hate | non-hate [END]
浙南 | 不想被代表 | Region | hate [END]
媚黑 | 排黑目光的产物 | Sexism, Racism | hate [END]
她们 | 都开始线上拉客了 | Sexism | hate [END]
你 | 别自我意识过剩了 | non-hate | non-hate [END]
三从四德 | 糟粕 | Sexism | hate [END]
黑河南的 | 很多 | Region | hate [END]
老婆 | 以后不把老婆裱起来供着就算家暴 | Sexism | hate [END]
男同 | 生理排斥男同 | LGBTQ | hate [END]
媚黑女 | 倒贴 | Sexism | hate [END]
中国 | 不存在种族歧视,因为在中国的原住民中没有黑种人 | Racism | hate [END]
四川人 | 感觉受到的歧视也不少 | non-hate | non-hate [END]
这种地方 | 要么就是不太发达的好多都出去打工可能素质不太高 | non-hate | non-hate [END]
NULL | 半斤八两哪个重? | non-hate | non-hate [END]
女生 | 靠比入住就行了 | Sexism | hate [END]
这肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
这些渣滓 | 哪里都是渣滓 | non-hate | non-hate [END]
吉林同事 | 骂她男朋友“辽宁杆子”这根本不值一提 | Region | hate [END]
你 | 换成孙笑川的样子女生只会报警,谢谢 | Sexism | hate [END]
同性恋 | 也可以跟异性结婚生小孩的没啥的 | LGBTQ | hate [END]
山东河南 | 还是主要的征兵地 | non-hate | non-hate [END]
反同 | 逼在眉睫 | LGBTQ | hate [END]
这些人 | 不替自己的未来考虑,不去努力改变纠正自己以适应求生存 | non-hate | non-hate [END]
南方人 | 互黑 | Region | hate [END]
系统 | 也会删 | non-hate | non-hate [END]
黑人 | 犯罪率就较高 | Racism | hate [END]
妇女报 | 妇联名下的么? | non-hate | non-hate [END]
你们 | 叠buff吗🤣 | non-hate | non-hate [END]
nq | 觉得自己不能共情任何男性很棒 | non-hate | non-hate [END]
他们 | 生理上的排斥,真的恶心 | LGBTQ | hate [END]
华东理工大学毕业的人 | 不要交往,不要说话,不要说话,不要做生意 | non-hate | non-hate [END]
你 | 信口开河 | non-hate | non-hate [END]
男的 | 是不是可以坦白自己的pc史,这不比交往一个外国女友严重? | non-hate | non-hate [END]
我父母 | 靠谱点 | non-hate | non-hate [END]
男同 | 专门杀同性恋的 | LGBTQ | hate [END]
蛆 | 少管女人的事好嘛真不要臉太下頭 | Sexism | hate [END]
古代封建地主和官~员 | 嘴脸 | 比外国人还要丑陋... | non-hate | non-hate [END]
宁的国人同胞 | 在非洲下了多少蛋 | non-hate | non-hate [END]
哥们 | 勇敢反击被挂 | non-hate | non-hate [END]
一部分群体 | 莫名的有种害怕? | non-hate | non-hate [END]
牲口 | 都是这样的 | non-hate | non-hate [END]
苏北人 | 在网上对江西的态度跟仇敌一样 | Region | hate [END]
黑人 | 想改变这个趋势,极其困难🤔 | Racism | hate [END]
不婚不育的女权 | 出来吱一声? | Sexism | hate [END]
NULL | 防止恶性传染病人人有责 | non-hate | non-hate [END]
基佬 | 染艾身亡就会越来越多 | LGBTQ | hate [END]
艾呀,梅什么,湿不了[蹲] | 艾呀,梅什么,湿不了[蹲] | LGBTQ | hate [END]
你 | 高级有特权呗?傻逼 | Sexism | hate [END]
奴隶姐 | 又来啦? | Sexism | hate [END]
蝴蝶鸡 | 死的好 | non-hate | non-hate [END]
演员和运动员 | 应该拿尼古拉斯凯奇和郭富城这些比,这样才比较好证明 | non-hate | non-hate [END]
龙阳之好断袖之癖 | 被撑同言论所洗脑 | LGBTQ | hate [END]
你 | 有嫁内个还是咋的? | non-hate | non-hate [END]
很民族主义的青年表示没有抨击她们外流 | Racism | hate [END]
变态吧 | 反变态吧就是为了反变态的 | non-hate | non-hate [END]
老实人 | 不要冤枉老实人 | non-hate | non-hate [END]
你 | 在劳教所里就别祸害别人了 | non-hate | non-hate [END]
俩男的 | 当街打架扇嘴巴,当街舔,真恶心 | Sexism | hate [END]
结婚 | 纯累赘 | non-hate | non-hate [END]
这个吧里到处发帖的 | 不就是引战的流量佬吗,没有的话你和那群你认为的贵物也没区别 | LGBTQ | hate [END]
你 | 比我高级五个阶级 | non-hate | non-hate [END]
美国嘿人 | 马丁路德金嫖娼考第一 | Racism | hate [END]
嘴上说女权但对男性崇拜不已的人 | 喜欢这种小傻瓜啦 | non-hate | non-hate [END]
舔狗 | 让他死就行了 | non-hate | non-hate [END]
我 | 向在座各位保证,我个人从来没有过 | non-hate | non-hate [END]
前汪伪区 | 前国统区的 | 他们和台湾亲着呢 | Region | hate [END]
第三世界的国家 | 才是我们的兄弟 | non-hate | non-hate [END]
这个人 | 大概率是江苏人 | non-hate | non-hate [END]
这种女人 | 挺不能理解这种女人 | Sexism, Racism | hate [END]
男人 | 只会和男拳战斗 | Sexism | hate [END]
这帮东西 | 天性 | non-hate | non-hate [END]
同性 | 歧视同也是不对的 | LGBTQ | hate [END]
女拳组织 | 解放了男性,男性开始逐渐躺平 | Sexism | hate [END]
河南同学 | 比他高了一百分🤣🤣 | non-hate | non-hate [END]
她 | 只要她别嫁给我们中国男人 | Sexism | hate [END]
社交软件这种 | 看多了容易怀疑人生 | non-hate | non-hate [END]
我们 | 把他列入黑名单什么的 | non-hate | non-hate [END]
男权 | 成不了气候的 | Sexism | hate [SEP] 男理中客舔狗龟男 | 一抓一大把 | Sexism | hate [END]
男人 | 用女人取乐时,女人反而崇拜男人亲身体会 | Sexism | hate [END]
东北人 | 关里那帮有啥区别 | non-hate | non-hate [END]
同 | 恶心正常人 | LGBTQ | hate [END]
微博 | 社会影响力也是这六个软件中最大的,无与伦比 | non-hate | non-hate [END]
女性 | 多数感性思维容易洗脑 | Sexism | hate [END]
直男 | 不会挑礼物不是很正常 | non-hate | non-hate [END]
他 | 中华民族的罪人!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! [END]
她 | 有没有人开盒啊 | non-hate | non-hate [END]
背叛自己民族人 | 还少吗? | Racism | hate [END]
我 | 最好都走 | non-hate | non-hate [END]
东北上海河南 | 其他地方真不叫黑 | Region | hate [END]
河南人 | 偷井盖的明明是北京人 | Region | hate [END]
同性恋 | 歧视 | LGBTQ | hate [END]
大众 | 缺乏个人实现的途径,意味着社会在固化 | non-hate | non-hate [END]
你 | 马上要被打成上海人了 | non-hate | non-hate [END]
北京天津 | 那么多南方要饭的看不见啊 | non-hate | non-hate [END]
黑人里面所谓的聪明的人 | 比例太少了 | Racism | hate [END]
广西 | 没那么重要,不会成为攻击重点 | non-hate | non-hate [END]
同战士 | 正迫切地需要着反同战士的登场 | LGBTQ | hate [END]
女的 | 接受度更高 | Sexism | hate [END]
知乎 | 三观很正 | non-hate | non-hate [END]
我 | 高贵的中国人 | non-hate | non-hate [END]
辽宁人 | 不应该替某省背黑锅 | Region | hate [END]
她 | 没说错 | non-hate | non-hate [END]
流量老贼 | 流量老贼 | non-hate | non-hate [END]
女权 | 也只会喷了 | Sexism | hate [END]
女人 | 装成女人来骗那群龟男来舔啊 | Sexism | hate [END]
被拐卖的 | 很感动🤣 | non-hate | non-hate [END]
人类进化 | 靠杂种推进的 | non-hate | non-hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non-hate | non-hate [END]
